Institution, Location, Rating, Score, Valid Through, Liaison, Submitted, Sustainability Rep, Reusable Keyword?, Number of Past Reports, Dates of Past Reports
Cal Poly Humboldt,"Arcata, CA, US",Gold,72.07,"May 7, 2023",Katie Koscielak,"May 7, 2020",Ron Rudebock,True,3,"May 7, 2020 - May 7, 2023; April 21, 2017 - Oct. 17, 2020; May 8, 2013 - May 7, 2016"
California College of the Arts,"Oakland, CA, US",Reporter - expired,,"Aug. 28, 2021",Dasha Ostrova,"March 2, 2018",Jennifer Juras,False,1," - Aug. 28, 2021"
California Polytechnic State University,"San Luis Obispo, CA, US",Gold,70.16,"Sept. 18, 2022",Kylee Singh,"Sept. 19, 2019",Kaitlin Gibbons,True,2,"Sept. 19, 2019 - Sept. 18, 2022; Feb. 16, 2017 - Feb. 16, 2020"
"California State Polytechnic University, Pomona","Pomona, CA, US",Silver,58.15,"May 15, 2023",Monika Kamboures,"May 15, 2020",Monika Kamboures,True,4,"May 15, 2020 - May 15, 2023; May 30, 2017 - Nov. 25, 2020; April 10, 2014 - April 9, 2017; May 4, 2011 - May 3, 2014"
"California State University, Bakersfield","Bakersfield, CA, US",Silver - expired,47.65,"Aug. 28, 2021",Jennifer Sanchez,"March 2, 2018",Jennifer Sanchez,True,0,
"California State University, Channel Islands","Camarillo, CA, US",Gold,65.23,"March 6, 2023",Roxane Beigel-Coryell,"March 6, 2020",Peter Maher,True,3,"March 6, 2020 - March 6, 2023; May 1, 2015 - April 30, 2018; June 30, 2011 - June 29, 2014"
"California State University, Chico","Chico, CA, US",Gold - expired,73.41,"Aug. 26, 2021",Gregory Wiggins,"Feb. 28, 2018",Nani Teves,True,2,"Feb. 28, 2018 - Aug. 26, 2021; Nov. 19, 2013 - Nov. 18, 2016"
"California State University, Dominguez Hills","Carson, CA, US",Silver,54.16,"Aug. 14, 2023",Ellie Perry,"June 30, 2020",Ellie Perry,True,2,"June 30, 2020 - Aug. 14, 2023; July 27, 2018 - July 26, 2021"
"California State University, East Bay","Hayward, CA, US",Bronze,42.65,"April 18, 2022",Winnie Kwofie,"April 19, 2019",Debbie Meyer,True,0,
"California State University, Fresno","Fresno, CA, US",Bronze,32.46,"Nov. 24, 2023",Beth Weinman,"Aug. 7, 2020",Beth Weinman,True,0,
"California State University, Fullerton","Fullerton, CA, US",Silver - expired,56.42,"Feb. 28, 2022",Stephanie Del Rosario,"March 1, 2019",Rhonda Robinson,True,3,"March 1, 2019 - Feb. 28, 2022; Sept. 11, 2015 - Sept. 10, 2018; Sept. 10, 2012 - Sept. 10, 2015"
"California State University, Long Beach","Long Beach, CA, US",Silver,53.82,"March 4, 2024",Holli Fajack,"Jan. 29, 2021",Jenny Lew,True,2,"Jan. 29, 2021 - March 4, 2024; July 6, 2017 - Jan. 1, 2021"
"California State University, Los Angeles","Los Angeles, CA, US",Silver,51.10,"July 16, 2022",Brad Haydel,"July 17, 2019",Daniel Keenan,True,2,"July 17, 2019 - July 16, 2022; June 6, 2016 - June 6, 2019"
"California State University, Monterey Bay","Seaside, CA, US",Silver,60.22,"March 27, 2025",Lacey Raak,"Feb. 10, 2022",Alexandra Perez,True,7,"Feb. 10, 2022 - March 27, 2025; Feb. 21, 2021 - March 25, 2024; Feb. 24, 2020 - Feb. 23, 2023; May 20, 2019 - May 19, 2022; March 16, 2018 - Sept. 11, 2021; Sept. 8, 2016 - Sept. 8, 2019; July 29, 2011 - July 28, 2014"
"California State University, Northridge","Northridge, CA, US",Gold,72.65,"Jan. 18, 2025",Austin Eriksson,"Nov. 29, 2021",Nikhil Schneider,True,3,"Nov. 29, 2021 - Jan. 18, 2025; Dec. 10, 2018 - Dec. 9, 2021; Feb. 29, 2016 - Feb. 28, 2019"
"California State University, Sacramento","Sacramento, CA, US",Gold,68.47,"April 22, 2024",Ryan Todd,"March 1, 2021",Kristina Cullen,True,2,"March 1, 2021 - April 22, 2024; May 9, 2016 - May 9, 2019"
"California State University, San Bernardino","San Bernardino, CA, US",Silver,51.18,"May 11, 2024",Miguel Martin,"March 5, 2021",Miguel Martin,True,0,
"California State University, San Marcos","San Marcos, CA, US",Gold,67.57,"Feb. 18, 2024",Juliana Goodlaw-Morris,"Dec. 18, 2020",Juliana Goodlaw-Morris,True,2,"Dec. 18, 2020 - Feb. 18, 2024; June 30, 2017 - Dec. 26, 2020"
"California State University, Stanislaus","Turlock, CA, US",Silver,52.50,"July 20, 2023",Wendy Olmstead,"May 28, 2020",Wendy Olmstead,True,2,"May 28, 2020 - July 20, 2023; March 6, 2020 - March 6, 2023"
Chapman University,"Orange, CA, US",Reporter - expired,,"Aug. 3, 2014",Mackenzie Crigger,"Aug. 4, 2011",,False,1," - Aug. 3, 2014"
Claremont McKenna College,"Claremont, CA, US",Silver,48.39,"Feb. 13, 2023",Connie Morales,"Feb. 14, 2020",Kristin Miller,True,0,
Dominican University of California,"San Rafael, CA, US",Bronze - expired,34.59,"Jan. 7, 2016",John Duvall,"Jan. 7, 2013",,False,0,
Harvey Mudd College,"Claremont, CA, US",Silver - expired,49.53,"Feb. 28, 2022",Tanja Srebotnjak,"March 1, 2019",Miguel Ruvalcaba,True,2,"March 1, 2019 - Feb. 28, 2022; March 30, 2018 - Sept. 25, 2021"
Loyola Marymount University,"Los Angeles, CA, US",Gold,76.17,"May 16, 2024",Ian McKeown,"March 5, 2021",Jessica Hernandez,True,6,"March 5, 2021 - May 16, 2024; March 6, 2020 - March 6, 2023; March 1, 2019 - Feb. 28, 2022; March 30, 2018 - Sept. 25, 2021; March 1, 2018 - Aug. 27, 2021; Jan. 27, 2012 - Jan. 26, 2015"
Mills College,"Oakland, CA, US",Silver,59.82,"May 17, 2024",Joanne Wong,"Feb. 10, 2021",Merilee McCormick,True,5,"Feb. 10, 2021 - May 17, 2024; May 31, 2017 - Nov. 26, 2020; June 20, 2016 - June 20, 2019; Feb. 27, 2015 - Feb. 26, 2018; Feb. 5, 2013 - Feb. 5, 2016"
Pitzer College,"Claremont, CA, US",Silver,52.64,"March 6, 2023",Milan Stijepovic,"March 6, 2020",Milan Stijepovic,True,2,"March 6, 2020 - March 6, 2023; Nov. 19, 2015 - Nov. 18, 2018"
Pomona College,"Claremont, CA, US",Gold - expired,68.35,"Oct. 28, 2018",Alexis Reyes,"Oct. 29, 2015",,False,2,"Oct. 29, 2015 - Oct. 28, 2018; June 3, 2011 - June 2, 2014"
Saint Mary's College of California,"Moraga, CA, US",Gold,65.21,"Feb. 25, 2023",Ann Drevno,"Feb. 26, 2020",,False,3,"Feb. 26, 2020 - Feb. 25, 2023; Jan. 25, 2016 - Jan. 24, 2019; Aug. 11, 2014 - Aug. 10, 2017"
San Diego State University,"San Diego, CA, US",Gold,69.33,"Oct. 23, 2023",Gener Abdon,"July 31, 2020",Paul Melchior,True,3,"July 31, 2020 - Oct. 23, 2023; March 2, 2018 - Aug. 28, 2021; Aug. 1, 2012 - Aug. 1, 2015"
San Francisco State University,"San Francisco, CA, US",Silver - expired,58.92,"Dec. 4, 2021",Nicholas Kordesch,"June 8, 2018",Nick Kordesch,True,2,"June 8, 2018 - Dec. 4, 2021; Feb. 15, 2017 - Feb. 15, 2020"
San Jose State University,"San Jose, CA, US",Gold,71.91,"March 6, 2023",Debbie Andres,"March 6, 2020",Paul Cingolani,True,3,"March 6, 2020 - March 6, 2023; Aug. 26, 2016 - Aug. 26, 2019; Sept. 15, 2011 - Sept. 14, 2014"
Santa Clara University,"Santa Clara, CA, US",Gold,79.45,"Feb. 26, 2023",Lindsey Kalkbrenner,"Feb. 27, 2020",Thierry Bourroux,True,4,"Feb. 27, 2020 - Feb. 26, 2023; May 5, 2017 - Oct. 31, 2020; May 3, 2014 - May 2, 2017; Jan. 31, 2011 - Jan. 30, 2014"
Santa Rosa Junior College,"Santa Rosa, CA, US",Bronze - expired,35.40,"Feb. 27, 2022",David Liebman,"Feb. 28, 2019",Guy Tilotson,True,0,
Scripps College,"Claremont, CA, US",Bronze - expired,37.84,"Jan. 18, 2016",Lauren Ng,"Jan. 18, 2013",,False,0,
Soka University of America,"Aliso Viejo, CA, US",Silver - expired,50.71,"Dec. 18, 2021",Lisa Kawai,"June 22, 2018",Kamal Hrouch,True,2,"June 22, 2018 - Dec. 18, 2021; June 5, 2017 - Dec. 1, 2020"
Sonoma State University,"Rohnert Park, CA, US",Silver,50.52,"April 6, 2024",Megan Varnadore,"Feb. 18, 2021",Daniel O'Brien,True,2,"Feb. 18, 2021 - April 6, 2024; June 27, 2016 - June 27, 2019"
Stanford University,"Redwood City, CA, US",Platinum - expired,88.00,"Feb. 21, 2022",Melissa Maigler,"Feb. 22, 2019",Moira Hafer,True,0,
"University of California, Berkeley","Berkeley, CA, US",Platinum,85.39,"April 29, 2024",Kira Stoll,"March 4, 2021",Samantha Lubow,True,3,"March 4, 2021 - April 29, 2024; Aug. 16, 2018 - Aug. 15, 2021; March 2, 2018 - Aug. 28, 2021"
"University of California, Davis","Davis, CA, US",Gold,74.67,"March 6, 2023",Camille Kirk,"March 6, 2020",Camille Kirk,True,2,"March 6, 2020 - March 6, 2023; Sept. 13, 2013 - Sept. 12, 2016"
"University of California, Irvine","Irvine, CA, US",Platinum,88.59,"Oct. 14, 2024",Richard Demerjian,"Aug. 11, 2021",Liz Mascarena,True,3,"Aug. 11, 2021 - Oct. 14, 2024; March 28, 2018 - Sept. 23, 2021; May 24, 2013 - May 23, 2016"
"University of California, Los Angeles","Los Angeles, CA, US",Gold,67.72,"March 6, 2023",Nurit Katz,"March 6, 2020",Erin Fabris,True,2,"March 6, 2020 - March 6, 2023; Aug. 2, 2011 - Aug. 1, 2014"
"University of California, Merced","Merced, CA, US",Gold - expired,83.80,"Feb. 28, 2022",Mark Maxwell,"March 1, 2019",Sean Murray,True,3,"March 1, 2019 - Feb. 28, 2022; Feb. 25, 2016 - Feb. 24, 2019; April 15, 2013 - April 14, 2016"
"University of California, Riverside","Riverside, CA, US",Gold,69.97,"May 9, 2024",Fortino Morales,"March 5, 2021",Fortino Morales,True,3,"March 5, 2021 - May 9, 2024; April 21, 2016 - April 21, 2019; May 31, 2013 - May 30, 2016"
"University of California, San Diego","La Jolla, CA, US",Gold,71.62,"April 18, 2024",Michelle Perez,"March 5, 2021",Michelle Perez,True,5,"March 5, 2021 - April 18, 2024; March 30, 2018 - Sept. 25, 2021; March 2, 2018 - Aug. 28, 2021; May 3, 2013 - May 2, 2016; May 18, 2011 - May 17, 2014"
"University of California, Santa Barbara","Santa Barbara, CA, US",Gold,77.79,"April 20, 2024",Mo Lovegreen,"March 4, 2021",Jewel Persad,True,5,"March 4, 2021 - April 20, 2024; March 2, 2018 - Aug. 28, 2021; Nov. 8, 2016 - Nov. 8, 2019; Aug. 19, 2014 - Aug. 18, 2017; May 9, 2012 - May 9, 2015"
"University of California, Santa Cruz","Santa Cruz, CA, US",Gold,77.43,"April 21, 2025",Elida Erickson,"Feb. 28, 2022",Clint Jeffries,True,4,"Feb. 28, 2022 - April 21, 2025; March 1, 2019 - Feb. 28, 2022; March 23, 2016 - March 23, 2019; April 17, 2015 - April 16, 2018"
University of San Diego,"San Diego, CA, US",Gold,70.13,"July 11, 2024",Trey McDonald,"March 24, 2021",Alison Sanchirico,True,3,"March 24, 2021 - July 11, 2024; Oct. 13, 2017 - April 10, 2021; March 11, 2014 - March 10, 2017"
University of Southern California,"Los Angeles, CA, US",Silver,57.87,"Sept. 21, 2024",Elias Platte-Bermeo,"July 29, 2021",Elias Platte-Bermeo,True,0,
University of the Pacific,"Stockton, CA, US",Silver,46.15,"April 15, 2024",Jessica Bilecki,"March 4, 2021",Jessica Bilecki,True,2,"March 4, 2021 - April 15, 2024; March 3, 2017 - Aug. 29, 2020"
Colorado College,"Colorado Springs, CO, US",Gold,71.47,"May 3, 2024",Ian Johnson,"March 5, 2021",Randy Kruse,True,7,"March 5, 2021 - May 3, 2024; March 4, 2020 - March 4, 2023; June 3, 2019 - June 2, 2022; July 14, 2017 - Jan. 9, 2021; May 26, 2016 - May 26, 2019; June 8, 2015 - June 7, 2018; July 29, 2014 - July 28, 2017"
Colorado School of Mines,"Golden, CO, US",Silver,48.20,"March 10, 2025",Lauren Poole,"Dec. 10, 2021",Lauren Poole,True,0,
Colorado State University,"Fort Collins, CO, US",Platinum,88.14,"Dec. 5, 2022",Tonie Miyamoto,"Dec. 6, 2019",Kirstie Tedrick,True,5,"Dec. 6, 2019 - Dec. 5, 2022; Feb. 7, 2017 - Feb. 7, 2020; March 23, 2015 - March 22, 2018; Feb. 25, 2014 - Feb. 24, 2017; Sept. 12, 2011 - Sept. 11, 2014"
Fort Lewis College,"Durango, CO, US",Reporter,,"Feb. 27, 2025",Kathleen Hilimire,"Feb. 23, 2022",Kathleen Hilimire,True,5,"Feb. 23, 2022 - Feb. 27, 2025; Feb. 1, 2021 - Feb. 8, 2024; March 3, 2020 - March 3, 2023; Feb. 26, 2019 - Feb. 25, 2022; Feb. 21, 2018 - Aug. 19, 2021"
Rocky Mountain College of Art + Design,"Lakewood, CO, US",Bronze - expired,25.46,"July 14, 2014",Annie McIntyre,"July 15, 2011",,False,0,
University of Colorado Boulder,"Boulder, CO, US",Gold,68.26,"Dec. 2, 2024",Marianne Martin,"Sept. 22, 2021",Nicole Grisham,True,4,"Sept. 22, 2021 - Dec. 2, 2024; March 23, 2018 - Sept. 18, 2021; Sept. 22, 2014 - Sept. 21, 2017; Nov. 9, 2010 - Nov. 8, 2013"
University of Colorado Colorado Springs,"Colorado Springs, CO, US",Gold,65.05,"May 12, 2024",Kimberly Reeves,"Feb. 15, 2021",Polly Knutson,True,4,"Feb. 15, 2021 - May 12, 2024; Feb. 15, 2018 - Aug. 13, 2021; Feb. 20, 2015 - Feb. 19, 2018; Jan. 28, 2011 - Jan. 27, 2014"
University of Colorado Denver - Anschutz Medical Campus,"Aurora, CO, US",Silver - expired,50.14,"Dec. 5, 2015",Jarrett Smith,"Dec. 5, 2012",,False,0,
University of Denver,"Denver, CO, US",Silver,58.79,"Sept. 9, 2024",Chad King,"June 9, 2021",Chad King,True,3,"June 9, 2021 - Sept. 9, 2024; Feb. 26, 2016 - Feb. 25, 2019; July 20, 2011 - July 19, 2014"
Western Colorado University,"Gunnison, CO, US",Silver,46.82,"May 15, 2022",Ashley Woolman,"May 16, 2019",Jonathan Coady,True,2,"May 16, 2019 - May 15, 2022; Feb. 16, 2016 - Feb. 15, 2019"
Connecticut College,"New London, CT, US",Gold,69.06,"July 28, 2024",Margaret Bounds,"June 18, 2021",Margaret Bounds,True,2,"June 18, 2021 - July 28, 2024; March 2, 2018 - Aug. 28, 2021"
Eastern Connecticut State University,"Willimantic, CT, US",Silver,56.09,"Dec. 14, 2024",Ciara Tennis,"Nov. 10, 2021",,False,4,"Nov. 10, 2021 - Dec. 14, 2024; Dec. 31, 2018 - Dec. 30, 2021; Jan. 11, 2016 - Jan. 10, 2019; Nov. 9, 2012 - Nov. 9, 2015"
Quinnipiac University,"Hamden, CT, US",Bronze,28.04,"April 18, 2025",Sam Edwards,"March 4, 2022",,False,0,
Trinity College (CT),"Hartford, CT, US",Bronze,38.99,"Oct. 27, 2022",Rosangelica Rodriguez,"Oct. 28, 2019",Rosangelica Rodriguez,True,0,
University of Connecticut,"Storrs, CT, US",Platinum,86.01,"March 6, 2023",Patrick McKee,"March 6, 2020",Richard Miller,True,5,"March 6, 2020 - March 6, 2023; March 26, 2018 - Sept. 21, 2021; June 30, 2017 - Dec. 26, 2020; June 20, 2016 - June 20, 2019; April 15, 2013 - April 14, 2016"
University of New Haven,"West Haven, CT, US",Bronze,35.20,"July 31, 2022",Laura Miller,"Aug. 1, 2019",Juan Dominguez,True,0,
Wesleyan University,"Middletown, CT, US",Silver,61.03,"Dec. 19, 2022",Jennifer Kleindienst,"Dec. 20, 2019",Michael Strumpf,True,3,"Dec. 20, 2019 - Dec. 19, 2022; Dec. 1, 2016 - Dec. 1, 2019; Oct. 14, 2013 - Oct. 13, 2016"
Yale University,"New Haven, CT, US",Gold,67.82,"Nov. 6, 2023",Lindsay Crum,"Aug. 3, 2020",Melissa Goodall,True,4,"Aug. 3, 2020 - Nov. 6, 2023; June 29, 2018 - Dec. 25, 2021; Sept. 21, 2016 - Sept. 21, 2019; June 29, 2011 - June 28, 2014"
American University,"Washington, DC, US",Gold,72.66,"April 18, 2024",Megan Litke,"March 5, 2021",Courtney Stoner,True,6,"March 5, 2021 - April 18, 2024; March 6, 2020 - March 6, 2023; Feb. 28, 2018 - Aug. 26, 2021; March 30, 2016 - March 30, 2019; Feb. 12, 2014 - Feb. 11, 2017; Jan. 31, 2011 - Jan. 30, 2014"
George Washington University,"Washington, DC, US",Gold,68.20,"March 5, 2023",Kimberly Williams,"March 5, 2020",Kehan DeSousa,True,4,"March 5, 2020 - March 5, 2023; Feb. 23, 2018 - Aug. 21, 2021; Feb. 27, 2015 - Feb. 26, 2018; May 14, 2014 - May 13, 2017"
University of the District of Columbia,"Washington, DC, US",Bronze - expired,36.66,"Feb. 16, 2015",Howard Ways,"Feb. 17, 2012",,False,0,
University of Delaware,"Newark, DE, US",Bronze,36.07,"Jan. 30, 2023",Dr. Christopher Williams,"Jan. 31, 2020",Michelle Bennett,True,2,"Jan. 31, 2020 - Jan. 30, 2023; Feb. 16, 2018 - Aug. 14, 2021"
Florida Gulf Coast University,"Fort Myers, FL, US",Gold,72.90,"Dec. 4, 2023",Kathleen Crawford,"July 23, 2020",Tara Zinslen,True,4,"July 23, 2020 - Dec. 4, 2023; July 28, 2017 - Jan. 23, 2021; July 28, 2014 - July 27, 2017; July 28, 2011 - July 27, 2014"
Florida Institute of Technology,"Melbourne, FL, US",Silver,50.32,"Nov. 6, 2023",Ken Lindeman,"April 24, 2020",Ken Lindeman,True,2,"April 24, 2020 - Nov. 6, 2023; March 1, 2017 - Feb. 29, 2020"
Florida International University,"Miami, FL, US",Silver - expired,49.09,"Feb. 17, 2021",Ali Dutton,"Aug. 22, 2017",Alexandra Dutton,True,3,"Aug. 22, 2017 - Feb. 17, 2021; May 13, 2016 - May 13, 2019; Sept. 20, 2013 - Sept. 19, 2016"
Florida State University,"Tallahassee, FL, US",Gold - expired,65.91,"Dec. 18, 2021",Elizabeth Swiman,"Dec. 19, 2018",Chantal Fortin,True,3,"Dec. 19, 2018 - Dec. 18, 2021; Jan. 30, 2015 - Jan. 29, 2018; Aug. 1, 2011 - July 31, 2014"
Nova Southeastern University,"Fort Lauderdale, FL, US",Bronze,31.26,"Feb. 18, 2024",Amber Orr,"Dec. 3, 2020",Jason Fitch,True,2,"Dec. 3, 2020 - Feb. 18, 2024; May 8, 2017 - Nov. 3, 2020"
Ringling College of Art and Design,"Sarasota, FL, US",Bronze - expired,32.70,"Jan. 10, 2020",Andreas Wolfram,"Jan. 10, 2017",Tammy Walsh,True,2,"Jan. 10, 2017 - Jan. 10, 2020; Jan. 10, 2014 - Jan. 9, 2017"
Stetson University,"DeLand, FL, US",Bronze - expired,42.63,"Dec. 5, 2015",Robert Sitler,"Dec. 5, 2012",,False,0,
University of Central Florida,"Orlando, FL, US",Silver,47.16,"April 20, 2024",Yara Watson Colon,"March 5, 2021",Yara Watson Colon,True,2,"March 5, 2021 - April 20, 2024; March 2, 2017 - Aug. 28, 2020"
University of Florida,"Gainesville, FL, US",Silver,52.36,"April 18, 2024",Matthew Williams,"Dec. 4, 2020",Kayla Caselli,True,3,"Dec. 4, 2020 - April 18, 2024; June 30, 2017 - Dec. 26, 2020; Jan. 31, 2011 - Jan. 30, 2014"
University of Miami,"Coral Gables, FL, US",Gold,71.10,"Feb. 28, 2025",Teddy Lhoutellier,"Jan. 26, 2022",Teddy Lhoutellier,True,3,"Jan. 26, 2022 - Feb. 28, 2025; March 13, 2019 - March 12, 2022; May 15, 2017 - Nov. 10, 2020"
University of North Florida,"Jacksonville, FL, US",Bronze - expired,33.32,"Sept. 25, 2015",James Taylor,"Sept. 25, 2012",,False,0,
University of South Florida (Tampa),"Tampa, FL, US",Gold - expired,65.35,"Aug. 17, 2021",Suchi Daniels,"Feb. 19, 2018",Jessica Cicalese,True,4,"Feb. 19, 2018 - Aug. 17, 2021; Feb. 22, 2017 - Feb. 22, 2020; Jan. 14, 2014 - Jan. 13, 2017; Jan. 28, 2011 - Jan. 27, 2014"
University of South Florida St. Petersburg,"Saint Petersburg, FL, US",Silver - expired,53.46,"Sept. 8, 2020",Winnie Mulamba,"March 13, 2017",Brian Pullen,True,0,
Valencia College,"Orlando, FL, US",Silver - expired,50.18,"Oct. 8, 2015",Allen Bottorff,"Oct. 8, 2012",,False,0,
Agnes Scott College,"Decatur, GA, US",Gold,69.09,"July 20, 2024",Susan Kidd,"May 21, 2021",Susan Kidd,True,3,"May 21, 2021 - July 20, 2024; June 21, 2018 - Dec. 17, 2021; Feb. 15, 2012 - Feb. 14, 2015"
Emory University,"Atlanta, GA, US",Gold,75.69,"April 20, 2024",Ciannat Howett,"March 5, 2021",Taylor Spicer,True,4,"March 5, 2021 - April 20, 2024; July 25, 2017 - Jan. 20, 2021; July 25, 2014 - July 24, 2017; July 25, 2011 - July 24, 2014"
Georgia College & State University,"Milledgeville, GA, US",Bronze,26.02,"May 17, 2024",Doug Oetter,"March 5, 2021",Doug Oetter,True,3,"March 5, 2021 - May 17, 2024; June 30, 2017 - Dec. 26, 2020; April 4, 2016 - April 4, 2019"
Georgia Institute of Technology,"Atlanta, GA, US",Silver,58.19,"May 12, 2024",Anne Rogers,"March 2, 2021",Anne Rogers,True,3,"March 2, 2021 - May 12, 2024; May 15, 2012 - May 15, 2015; Feb. 7, 2012 - Feb. 6, 2015"
Georgia State University,"Atlanta, GA, US",Reporter - expired,,"March 22, 2018",Jennifer Asman,"March 23, 2015",,False,0,
University of Georgia,"Athens, GA, US",Gold,69.70,"Oct. 3, 2024",Kevin Kirsche,"June 22, 2021",Kevin Kirsche,True,3,"June 22, 2021 - Oct. 3, 2024; Dec. 22, 2017 - June 19, 2021; April 29, 2014 - April 28, 2017"
University of North Georgia,"Dahlonega, GA, US",Bronze,27.31,"Dec. 20, 2022",Adam Strzemienski,"Dec. 21, 2019",,False,0,
University of West Georgia,"Carrollton, GA, US",Silver - expired,46.90,"Sept. 25, 2021",Hannes Gerhardt,"March 30, 2018",Hannes Gerhardt,True,2,"March 30, 2018 - Sept. 25, 2021; April 20, 2015 - April 19, 2018"
Hawaii Pacific University,"Honolulu, HI, US",Bronze - expired,30.89,"Oct. 2, 2015",Dingilizwe Ncube,"Oct. 2, 2012",,False,0,
Drake University,"Des Moines, IA, US",Bronze,32.00,"May 21, 2022",Kevin Moran,"May 22, 2019",,False,0,
Eastern Iowa Community College District,"Davenport, IA, US",Silver - expired,48.95,"June 14, 2014",Julie Plummer,"June 15, 2011",,False,0,
Iowa State University,"Ames, IA, US",Gold,74.09,"Aug. 29, 2022",Merry Rankin,"Aug. 30, 2019",Karen Rodekamp,True,3,"Aug. 30, 2019 - Aug. 29, 2022; Sept. 1, 2016 - Sept. 1, 2019; Aug. 30, 2013 - Aug. 29, 2016"
Luther College,"Decorah, IA, US",Gold,75.28,"March 16, 2025",Chris Frantsvog,"Feb. 25, 2022",Wayne Tudor,True,5,"Feb. 25, 2022 - March 16, 2025; March 1, 2019 - Feb. 28, 2022; March 3, 2017 - Aug. 29, 2020; May 1, 2014 - April 30, 2017; July 29, 2011 - July 28, 2014"
Maharishi University of Management,"Fairfield, IA, US",Silver - expired,47.17,"April 10, 2017",David Fisher,"April 11, 2014",,False,0,
University of Iowa,"Iowa City, IA, US",Silver - expired,59.34,"July 23, 2021",Sara Maples,"July 24, 2018",Jill Irvin,True,2,"July 24, 2018 - July 23, 2021; Aug. 8, 2013 - Aug. 7, 2016"
University of Northern Iowa,"Cedar Falls, IA, US",Gold - expired,70.13,"Feb. 29, 2016",Eric O'Brien,"March 1, 2013",,False,2,"March 1, 2013 - Feb. 29, 2016; March 2, 2011 - March 1, 2014"
Wartburg College,"Waverly, IA, US",Gold - expired,67.20,"Jan. 28, 2018",Anne Duncan,"Jan. 29, 2015",,False,2,"Jan. 29, 2015 - Jan. 28, 2018; March 5, 2014 - March 4, 2017"
Boise State University,"Boise, ID, US",Silver,48.87,"Sept. 22, 2024",Kat Davis,"July 16, 2021",Alex Peck,True,0,
